 出发地,出发时间,目的地,到达时间
07:00 ,首都国际机场 T2,09:20,虹桥国际机场 T2
09:00 ,首都国际机场 T2,11:15,虹桥国际机场 T2
11:00 ,首都国际机场 T2,13:20,虹桥国际机场 T2
13:00 ,首都国际机场 T2,15:15,虹桥国际机场 T2
14:00 ,首都国际机场 T2,16:20,虹桥国际机场 T2
15:00 ,首都国际机场 T2,17:20,虹桥国际机场 T2
17:00 ,首都国际机场 T2,19:15,虹桥国际机场 T2
19:00 ,首都国际机场 T2,21:15,虹桥国际机场 T2
21:00 ,首都国际机场 T2,23:20,虹桥国际机场 T2
06:50 ,大兴国际机场 ,09:05,虹桥国际机场 T2
