 出发地,出发时间,目的地,到达时间
07:15 ,首都国际机场 T2,10:35,白云机场 T1
08:15 ,大兴国际机场 ,11:30,白云机场 T1
16:15 ,首都国际机场 T2,19:35,白云机场 T1
09:30 ,首都国际机场 T2,13:00,白云机场 T2
15:30 ,首都国际机场 T2,19:05,白云机场 T2
18:30 ,首都国际机场 T2,21:35,白云机场 T2
