 出发地,出发时间,目的地,到达时间
12:55 ,首都国际机场 T2,16:45,长水国际机场 
14:00 ,首都国际机场 T2,17:40,长水国际机场 
16:55 ,首都国际机场 T2,20:45,长水国际机场 
17:00 ,大兴国际机场 ,20:35,长水国际机场 
18:55 ,首都国际机场 T2,22:45,长水国际机场 
21:00 ,首都国际机场 T2,00:50,  +1天到达时间为当地时间： 2020-07-19 00:50
10:00 ,首都国际机场 T2,13:45,长水国际机场 
22:20 ,首都国际机场 T3,01:55,  +1天到达时间为当地时间： 2020-07-19 01:55
